Hello;həˈloʊ;Привет
Goodbye;ˌɡʊdˈbaɪ;Пока
Friend;frɛnd;Друг
Family;ˈfæməli;Семья
Love;lʌv;Любовь
Happiness;ˈhæpɪnɪs;Счастье
Sadness;ˈsædnɪs;Грусть
Peace;pis;Мир
Nature;ˈneɪtʃər;Природа
Ocean;ˈoʊʃən;Океан
Mountain;ˈmaʊntən;Гора
Sun;sʌn;Солнце
Moon;mun;Луна
Star;stɑr;Звезда
Sky;skaɪ;Небо
Rain;reɪn;Дождь
Snow;snoʊ;Снег
Wind;wɪnd;Ветер
Fire;faɪr;Огонь
Earth;ɜrθ;Земля
Tree;tri;Дерево
Flower;ˈflaʊər;Цветок
Book;bʊk;Книга
Music;ˈmjuːzɪk;Музыка
Art;ɑrt;Искусство
Science;ˈsaɪəns;Наука
Technology;tekˈnɒlədʒi;Технология
Happy;ˈhæpi;Счастливый
Sad;sæd;Грустный
