Hello;həˈloʊ;Привет
Goodbye;ˌɡʊdˈbaɪ;Пока
Friend;frɛnd;Друг
Family;ˈfæməli;Семья
Love;lʌv;Любовь
Happiness;ˈhæpɪnɪs;Счастье
Sadness;ˈsædnɪs;Грусть
Peace;pis;Мир
Nature;ˈneɪtʃər;Природа
Ocean;ˈoʊʃən;Океан
Mountain;ˈmaʊntən;Гора
Sun;sʌn;Солнце
Moon;mun;Луна
Star;stɑr;Звезда
Sky;skaɪ;Небо
Rain;reɪn;Дождь
Snow;snoʊ;Снег
Wind;wɪnd;Ветер
Fire;faɪr;Огонь
Earth;ɜrθ;Земля
Tree;tri;Дерево
Flower;ˈflaʊər;Цветок
Book;bʊk;Книга
Music;ˈmjuːzɪk;Музыка
Art;ɑrt;Искусство
Science;ˈsaɪəns;Наука
Technology;tekˈnɒlədʒi;Технология
Happy;ˈhæpi;Счастливый
Sad;sæd;Грустный
Butterfly;[ˈbʌtərflaɪ];Бабочка
Adventure;[ədˈvɛnʧər];Приключение
Courage;[ˈkɜːrɪdʒ];Смелость
Dream;[driːm];Мечта
Journey;[ˈdʒɜːrni];Путешествие
Explore;[ɪkˈsplɔːr];Исследовать
Laughter;[ˈlæftər];Смех
Whisper;[ˈwɪspər];Шепот
Harmony;[ˈhɑːrməni];Гармония
Serenity;[səˈrɛnəti];Безмятежность
Enigma;[ɪˈnɪɡmə];Загадка
Sparkle;[ˈspɑːrkəl];Блеск
Wonder;[ˈwʌndər];Удивление
Reflection;[rɪˈflɛkʃən];Отражение
Symphony;[ˈsɪmfəni];Симфония
Illuminate;[ɪˈluːmɪneɪt];Просветлять
Tranquil;[ˈtræŋkwɪl];Спокойный
Echo;[ˈɛkoʊ];Эхо
Radiant;[ˈreɪdiənt];Сияющий
Essence;[ˈɛsəns];Сущность
